P001;lapte zuzu;Zuzu;1;l;lactate;2025-05-01;2025-05-07;8
P010;brânză telemea;Proxi;0.3;kg;lactate;2025-05-01;2025-05-07;12
P019;piept pui;Avicola;1;kg;carne;2025-05-02;2025-05-08;10
P024;apă plată;Aqua Carpatica;2;l;băuturi;2025-05-03;2025-05-09;5
P036;cafea măcinată;Tchibo;0.25;kg;cafea;2025-05-04;2025-05-10;15
P039;detergent lichid;Dero;2.5;l;produse de menaj;2025-05-01;2025-05-07;20
P042;șampon păr gras;Schauma;400;ml;îngrijire personală;2025-05-02;2025-05-08;10
P054;ciocolată neagră 70%;Poiana;100;g;gustări;2025-05-03;2025-05-09;10
P007;ouă mărimea M;Din Ogradă;10;buc;ouă;2025-05-04;2025-05-10;6
P027;banane;Generic;1;kg;legume și fructe;2025-05-01;2025-05-07;7 5-05-08;6
P028;ulei floarea-soarelui;Bunica;1;l;alimente de bază;2025-05-05;2025-05-11;10
P046;piper negru măcinat;Kotanyi;50;g;condimente;2025-05-06;2025-05-12;12
P031;biscuiți cu unt;Deluxe;0.2;kg;gustări;2025-05-04;2025-05-10;9
P043;hârtie igienică 3 straturi;Zewa;10;role;produse de menaj;2025-05-03;2025-0509;14
P026;banane;Lidl;1;kg;legume și fructe;2025-05-06;2025-05-12;6
P002;iaurt grecesc;Lidl;0.4;kg;lactate;2025-05-05;2025-05-11;11
P014;roșii cherry;Lidl;250;g;legume și fructe;2025-05-06;2025-05-12;5